food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,total_mass_g,Caloric Value_per_100g,Fat_per_100g,Saturated Fats_per_100g,Monounsaturated Fats_per_100g,Polyunsaturated Fats_per_100g,Carbohydrates_per_100g,Sugars_per_100g,Protein_per_100g,Dietary Fiber_per_100g,Cholesterol_per_100g,Sodium_per_100g,Water_per_100g,Vitamin A_per_100g,Vitamin B1_per_100g,Vitamin B11_per_100g,Vitamin B12_per_100g,Vitamin B2_per_100g,Vitamin B3_per_100g,Vitamin B5_per_100g,Vitamin B6_per_100g,Vitamin C_per_100g,Vitamin D_per_100g,Vitamin E_per_100g,Vitamin K_per_100g,Calcium_per_100g,Copper_per_100g,Iron_per_100g,Magnesium_per_100g,Manganese_per_100g,Phosphorus_per_100g,Potassium_per_100g,Selenium_per_100g,Zinc_per_100g
gooseberries canned,184,0.5,0.004,0.097,0.3,47.3,0,1.6,6,0,0.097,201.9,0,0.066,0.041,0,0.1,0.4,0.3,0.085,25.2,0,0,0,40.3,0.5,0.8,15.1,0.4,17.6,194,0.069,0.3,121.7,251.3,73.21925985,0.19896538,0.001591723,0.038599284,0.119379228,18.82212495,0,0.636689216,2.38758456,0,0.038599284,80.34222045,0,0.02626343,0.016315161,0,0.039793076,0.159172304,0.119379228,0.033824115,10.02785515,0,0,0,16.03660963,0.19896538,0.318344608,6.008754477,0.159172304,7.003581377,77.19856745,0.027457222,0.119379228
grapefruit canned,88,0.2,0.09,0.011,0.066,22.3,21.4,1.4,1,0,0.091,219.2,0,0.061,0.094,0,0.092,0.6,0.3,0.08,53.2,0,0.2,0,36.6,0.2,1,24.4,0.056,24.4,322.1,0.049,0.2,115.7,243.1,36.19909502,0.082270671,0.037021802,0.004524887,0.027149321,9.173179761,8.802961744,0.575894694,0.411353353,0,0.037433155,90.16865487,0,0.025092555,0.038667215,0,0.037844508,0.246812012,0.123406006,0.032908268,21.88399835,0,0.082270671,0,15.0555327,0.082270671,0.411353353,10.0370218,0.023035788,10.0370218,132.4969148,0.020156314,0.082270671
pear canned,38,0.001,0.099,0.049,0.034,9.8,7.4,0.3,1.2,0,0.088,65.7,0,0.096,0.08,0,0.048,0.2,0.085,0.042,1.2,0,0.078,0.034,6.8,0.012,0.2,5.3,0.064,9.1,73,0,0.077,19.566,75.801,50.13126476,0.001319244,0.130605137,0.064642947,0.04485429,12.92858933,9.76240419,0.395773143,1.583092571,0,0.116093455,86.67431828,0,0.126647406,0.105539505,0,0.063323703,0.263848762,0.112135724,0.05540824,1.583092571,0,0.102901017,0.04485429,8.970857904,0.015830926,0.263848762,6.99199219,0.084431604,12.00511867,96.30479809,0,0.101581773
raspberries canned,233,0.3,0.081,0.012,0.2,59.8,51.4,2.1,8.4,0,0.013,192.8,0,0.094,0.074,0,0.07,1.1,0.6,0.1,22.3,0,1.5,0.074,28.2,0.1,1.1,30.7,0.6,23,240.6,0.092,0.4,122.2,255,91.37254902,0.117647059,0.031764706,0.004705882,0.078431373,23.45098039,20.15686275,0.823529412,3.294117647,0,0.005098039,75.60784314,0,0.036862745,0.029019608,0,0.02745098,0.431372549,0.235294118,0.039215686,8.745098039,0,0.588235294,0.029019608,11.05882353,0.039215686,0.431372549,12.03921569,0.235294118,9.019607843,94.35294118,0.036078431,0.156862745
papaya canned,80,0.2,0.1,0.006,0.026,21.8,20.4,0.001,0.6,0,0.075,16.9,0,0.038,0,0,0.084,0.014,0.003,0.006,1.4,0,0,0.038,8.2,0.008,0.1,2.3,0.082,2.3,26.1,0.031,0.002,32.371,38.901,205.6502404,0.514125601,0.2570628,0.015423768,0.066836328,56.0396905,52.44081129,0.002570628,1.542376803,0,0.1927971,43.44361327,0,0.097683864,0,0,0.215932752,0.035988792,0.007711884,0.015423768,3.598879206,0,0,0.097683864,21.07914964,0.020565024,0.2570628,5.91244441,0.210791496,5.91244441,67.09339092,0.079689468,0.005141256
grapes canned,98,0.3,0.034,0.072,0.006,25.2,23.8,1.2,1.5,0,0.022,217.7,0,0.089,0.065,0,0.006,0.3,0.1,0.2,2.5,0,0.3,0.069,24.5,0.1,2.4,14.7,0.077,44.1,262.2,0.028,0.1,57.6,244.4,40.09819967,0.122749591,0.01391162,0.029459902,0.002454992,10.31096563,9.738134206,0.490998363,0.613747954,0,0.009001637,89.07528642,0,0.036415712,0.026595745,0,0.002454992,0.122749591,0.04091653,0.081833061,1.022913257,0,0.122749591,0.028232406,10.02454992,0.04091653,0.981996727,6.014729951,0.031505728,18.04418985,107.2831424,0.011456628,0.04091653
apple dried,145,0.2,0.088,0.022,0.041,39.1,34,0.6,5.1,0,0.024,214.5,0,0.093,0,0,0.013,0.3,0.1,0.1,2.6,0,0.3,0.036,7.7,0.1,0.8,10.2,0.051,23,267.8,0.076,0.1,56.1,254.4,56.99685535,0.078616352,0.034591195,0.008647799,0.016116352,15.36949686,13.36477987,0.235849057,2.004716981,0,0.009433962,84.31603774,0,0.036556604,0,0,0.005110063,0.117924528,0.039308176,0.039308176,1.022012579,0,0.117924528,0.014150943,3.02672956,0.039308176,0.314465409,4.009433962,0.02004717,9.040880503,105.2672956,0.029874214,0.039308176
peach dried,199,0.6,0.055,0.2,0.3,50.8,43.8,3,7,0,0.059,201.5,0,0.029,0,0,0.006,3.9,0.5,0.039,9.5,0,0.2,0.06,23.2,0.3,3.4,33.5,0.3,98,825.6,0.068,0.5,97.5,255.9,77.76475186,0.234466589,0.021492771,0.07815553,0.117233294,19.85150449,17.11606096,1.172332943,2.735443533,0,0.023055881,78.74169597,0,0.011332552,0,0,0.002344666,1.524032825,0.195388824,0.015240328,3.712387651,0,0.07815553,0.023446659,9.066041422,0.117233294,1.328644002,13.09105119,0.117233294,38.29620946,322.6260258,0.02657288,0.195388824
plantain chips,150,8.4,2.4,1.6,3.3,18.1,0.3,0.6,1,0,0.039,0.6,0,0.087,0.045,0,0.024,0.2,0.3,0.1,9.1,0,1.4,0.098,2.5,0.049,0.3,20.1,0.094,22.1,222.4,0.028,0.1,40,27.7,541.5162455,30.32490975,8.664259928,5.776173285,11.9133574,65.34296029,1.083032491,2.166064982,3.610108303,0,0.140794224,2.166064982,0,0.314079422,0.162454874,0,0.086642599,0.722021661,1.083032491,0.36101083,32.85198556,0,5.054151625,0.353790614,9.025270758,0.176895307,1.083032491,72.5631769,0.339350181,79.7833935,802.8880866,0.101083032,0.36101083
golden raisins,498,0.8,0.2,0.016,0.2,131.2,97.7,5.6,6.6,0,0.001,24.7,0,0.031,0.067,0,0.3,1.9,0.2,0.5,5.3,0,0.2,0.066,87.5,0.6,3,57.8,0.5,189.8,1230.9,0.062,0.5,240,162.3,306.8391867,0.492914356,0.123228589,0.009858287,0.123228589,80.83795441,60.19716574,3.450400493,4.066543438,0,0.000616143,15.21873075,0,0.019100431,0.041281577,0,0.184842884,1.170671596,0.123228589,0.308071473,3.265557609,0,0.123228589,0.040665434,53.9125077,0.369685767,1.848428835,35.61306223,0.308071473,116.943931,758.4103512,0.038200863,0.308071473
